dataset;BPRMF.MAP;MostPopular.AUC;WeightedBPRMF.AUC;WeightedBPRMF.MAP
yelp.csv;-0.0752250880022103;-0.0918928639847432;0.122626574813923;-0.0929511617732788
movietweetings_recsys2014.csv;-0.00833303114094603;0.0264250818983468;0.0562605757921365;0.0576808139349399
amazon-apps.csv;-0.0558367678973808;0.132517550275185;-0.145454575033011;-0.107632942587818
amazon-cd.csv;-0.0795324955419528;-0.140483917531054;-0.0169235202760573;-0.112934606732033
amazon-food.csv;-0.0557399600000715;-0.0760170530603359;-0.0962317561421511;-0.104670877985904
amazon-tools.csv;-0.0717499583573006;-0.126350069456912;-0.128378058252568;-0.120245279227382
yahoo-music.csv;-0.0207417587938104;0.045590447446926;0.266544847669766;0.320738973859483
amazon-office.csv;-0.0692587782109251;-0.109212647856825;-0.129093742815307;-0.118587233309384
bookcrossing.csv;-0.0262570933342956;-0.24664037567972;-0.021904095561623;-0.0100831597427044
amazon-health.csv;-0.0699753674374402;-0.0671614176131514;-0.137272924417668;-0.119146781651453
amazon-toys.csv;-0.0647499642410264;-0.134269189718002;-0.113490650681452;-0.113191223996298
amazon-beauty.csv;-0.0686930320589841;-0.126688203076951;-0.098684062135244;-0.117470708665443
amazon-digital-music.csv;-0.059193141700685;-0.128024439894039;-0.0922343418255919;-0.0983282354017147
jester2.csv;0.577136960583309;0.375539552648135;0;0
amazon-kindle.csv;-0.0605204115139937;-0.110617849521836;-0.0373185551037356;-0.106843534174864
amazon-sports.csv;-0.0752329886467221;-0.122831832886767;-0.122605176701422;-0.122792359527345
amazon-phones.csv;-0.0683845530480013;-0.012068797383823;-0.175878740589229;-0.123056137488243
amazon-instruments.csv;-0.0416070840038453;-0.119530441012579;-0.136582341486902;-0.101699616132827
movielens20m.csv;-0.0324946021722946;0.279949813014266;0.310402583653496;0.0802791635803726
amazon-garden.csv;-0.0683015539694833;-0.141421805151932;-0.123503979726913;-0.116791593209922
jester3.csv;0.465031123004395;0.261194119248869;-0.0449058319941351;0.314750933871634
flixter.csv;-0.0249905438589925;0.245403913944147;0.303116855548501;0.0771489080574473
movielens10m.csv;-0.0225278583448193;0.259034250006713;0.31000762387698;0.124906453617577
jester1.csv;0.573452429240628;0.375854354876836;0;0
amazon-clothes.csv;-0.0806720554270417;-0.142480810142546;-0.119214728076008;-0.1249568410149
amazon-automotive.csv;-0.0636314653047982;-0.149357566184785;-0.120390965860123;-0.112330151650464
amazon-instant-video.csv;-0.0242877480653982;0.0736673751601594;-0.201940900912037;-0.0985373026780825
movietweetings_latest.csv;-0.0395667098636942;0.0234981931659869;0.122560981369063;0.0344454642120291
amazon-home.csv;-0.0781608736489907;-0.0651194062081178;-0.149909662055802;-0.124739673093655
amazon-movies.csv;-0.0454187334087598;-0.13329699122751;0.00201479689287204;0.228841942918153
amazon-pet-supplies.csv;-0.0688904635494916;-0.0658582907852395;-0.142455876467238;-0.114491770568363
amazon-baby.csv;-0.0673302285777104;0;-0.13229136152691;-0.115250291712312
yahoo-movies.csv;0.0603316472487521;0.0988271927388729;0.197358824321593;0.282302496281579
movielens_latest.csv;-0.0461140593622169;0.280058406916592;0.304751095240579;0.0522722947652084
movielens100k.csv;0.0866133296942197;-0.107889277615841;0.221405117845904;0.371940803106292
movielens1m.csv;0.0039692032091169;0.0518135814230325;0.249565116198176;0.098668311050453
tripadvisor.csv;-0.0780864906579637;-0.0679950001904058;0.152727958073101;0.448127026377463
amazon-games.csv;-0.0550298328391745;-0.0441655865809469;-0.132677103654964;-0.11537210330824
