dataset;BiasedMatrixFactorization.NMAE.MatrixFactorization.NMAE;BiasedMatrixFactorization.RMSE.LatentFeatureLogLinearModel.RMSE;GlobalAverage.MAE.SigmoidCombinedAsymmetricFactorModel.MAE;GlobalAverage.RMSE.MatrixFactorization.RMSE;LatentFeatureLogLinearModel.NMAE.SigmoidUserAsymmetricFactorModel.NMAE;MatrixFactorization.MAE.SVDPlusPlus.MAE;MatrixFactorization.MAE.SigmoidCombinedAsymmetricFactorModel.MAE;MatrixFactorization.RMSE.SVDPlusPlus.RMSE;MatrixFactorization.RMSE.SigmoidCombinedAsymmetricFactorModel.RMSE;SVDPlusPlus.NMAE.SigmoidUserAsymmetricFactorModel.NMAE;SVDPlusPlus.RMSE.SigmoidItemAsymmetricFactorModel.RMSE;SVDPlusPlus.RMSE.SigmoidUserAsymmetricFactorModel.RMSE;SigmoidCombinedAsymmetricFactorModel.RMSE.SigmoidItemAsymmetricFactorModel.RMSE;SigmoidCombinedAsymmetricFactorModel.RMSE.SigmoidUserAsymmetricFactorModel.RMSE;SigmoidItemAsymmetricFactorModel.NMAE.UserItemBaseline.NMAE;SigmoidItemAsymmetricFactorModel.RMSE.SigmoidUserAsymmetricFactorModel.RMSE
yelp.csv;0.667172984721403;-0.109936889400955;-0.129119676410308;-0.160197384892898;0.441737484639603;0.197520307012604;0.143961406620391;0.192083365736701;0.157058707549772;-0.0463051161710584;-0.010724814420342;-0.0468931770287443;0.0311408410957853;-0.029216996882817;0.149192428564336;-0.0652613325929136
movietweetings_recsys2014.csv;-0.0395650233652639;-0.120772308424021;-0.0549796652425052;-0.125863200194248;-0.0712795241793036;0.239504078045694;0.224727956221683;0.325546684791567;0.417310692707921;0.0288044520611118;0.226293901029739;0.190249159635644;-0.0111649927723163;-0.0580963581703729;0.0656494551662475;-0.0461529519213396
amazon-apps.csv;-0.0487924397200995;0.123988402269724;-0.000388444718610903;-0.148111286956451;-0.117099201250776;0.280750988653279;0.26202939840744;0.291610886038185;0.329128328609243;0.0283471434376585;0.148112382197886;0.0843025255773829;0.0497804100450277;-0.0625577643021862;-0.00796438100633148;-0.119334578118523
amazon-cd.csv;0.680326408142067;-0.0464864803857148;-0.0219935634023224;-0.119583212391023;0.334840317503909;0.111498724418077;0.153260468496744;0.0951975381808622;0.0629049872629511;0.106631159309255;-0.00125913022760697;-0.0431254527360302;0.0494840726861633;-0.0217488120823686;0.02305817388802;-0.0785274930173029
amazon-food.csv;-0.0344825411046782;-0.164004076267561;-0.0786936490498226;-0.0965177749353738;0.323697017487236;0.0254303055783944;0.0657505355931241;-0.0248545889929517;-0.0367760286633795;0.0925199691928684;0.0345271454789051;-0.00528753777581797;0.044809050681043;-0.0189888989194295;0.0875003774808456;-0.0705229326194602
amazon-tools.csv;-0.0432691810311213;-0.149186968794582;-0.0839268428498467;-0.0911816505418899;0.00969982567058631;0.00627230770135903;0.0534726056986456;-0.0216996811920505;-0.0047047777567208;0.100439836298885;0.105147938669828;0.0550693749401496;0.0607037030986711;-0.0203080783604154;0.0947230656313437;-0.0897263097131329
yahoo-music.csv;-0.0478483949536273;0.211641137828543;0.71091742175627;0.25114830213713;-0.118683247730292;-0.136921446135075;-0.118518650947678;0.123556225159268;0.191241867302166;-0.00406062611801201;-0.163456939220865;0.0708894536315696;-0.717187937104566;-0.23772009406602;-0.461095186232235;0.60294649744903
amazon-office.csv;-0.0451191517144559;-0.118098038472066;-0.10651149761452;-0.0920977828033231;-0.0720059219983683;0.00826445309158735;0.0346852740517956;0.00957563794795168;0.0404009353648725;0.0565445665302505;0.135963131605366;0.0773073602247238;0.0611340417855914;-0.0381750940416557;0.121542178936244;-0.107917984347903
bookcrossing.csv;-0.0532820282059526;-0.0374424821312801;-0.10868263861234;-0.0907421390890392;-0.108422335091743;0.238466911275577;0.0175218463340064;0.147743860650104;0.0163352494431983;-0.33802947944372;-0.231804738620819;-0.235580243297414;-0.00978078466503404;-0.0117632657605475;0.139121662519628;-0.00159869933605067
amazon-health.csv;-0.0454511559501783;0.0228186631587498;-0.193808808754302;-0.0943144190116978;-0.111760070936146;0.0256112759509629;-0.0749385800622762;-0.00517395352441198;-0.0835141938550786;-0.183946980391637;-0.100676314167926;-0.15190427112336;0.0613511051351399;-0.0403365963693232;0.235789946487529;-0.11030406449261
