dataset;ranking
amazon-clothes.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
amazon-automotive.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
amazon-instant-video.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
movietweetings_latest.csv;SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,SVDPlusPlus,MatrixFactorization,BiasedMatrixFactorization,GlobalAverage,UserItemBaseline,LatentFeatureLogLinearModel
amazon-home.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
amazon-movies.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,MatrixFactorization,GlobalAverage,UserItemBaseline,LatentFeatureLogLinearModel
amazon-pet-supplies.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
amazon-baby.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
yahoo-movies.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidCombinedAsymmetricFactorModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,MatrixFactorization,LatentFeatureLogLinearModel,GlobalAverage,UserItemBaseline
movielens_latest.csv;BiasedMatrixFactorization,MatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,LatentFeatureLogLinearModel,GlobalAverage,UserItemBaseline
movielens100k.csv;BiasedMatrixFactorization,SigmoidCombinedAsymmetricFactorModel,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,LatentFeatureLogLinearModel,SigmoidUserAsymmetricFactorModel,MatrixFactorization,GlobalAverage,UserItemBaseline
movielens1m.csv;MatrixFactorization,BiasedMatrixFactorization,SVDPlusPlus,LatentFeatureLogLinearModel,SigmoidItemAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,GlobalAverage,UserItemBaseline
tripadvisor.csv;SigmoidItemAsymmetricFactorModel,BiasedMatrixFactorization,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,LatentFeatureLogLinearModel
amazon-games.csv;BiasedMatrixFactorization,SVDPlusPlus,SigmoidItemAsymmetricFactorModel,SigmoidCombinedAsymmetricFactorModel,SigmoidUserAsymmetricFactorModel,GlobalAverage,UserItemBaseline,MatrixFactorization,LatentFeatureLogLinearModel
